"issuer_clean","locnorm","lon","lat","stopid","max_arrival","min_departure","uri","visitid","year_min","year_max","ruler_order"
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,1,"1292-05-10","1292-05-10","1292-05-10_1_0_6_2_0_12_12",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,2,"1292-05-11","1292-05-11","1292-05-11_1_0_6_2_0_15_15",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,2,"1292-05-11","1292-05-11","1292-05-11_2_0_6_2_0_16_16",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,3,"1292-05-13","1292-05-13","1292-05-13_1_0_6_2_0_17_17",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,4,"1292-05-14","1292-05-14","1292-05-14_1_0_6_2_0_18_18",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,4,"1292-05-14","1292-05-14","1292-05-14_2_0_6_2_0_19_19",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,4,"1292-05-14","1292-05-14","1292-05-14_3_0_6_2_0_20_20",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Frankfurt",8.68417,50.11552,5,"1292-05-17","1292-05-17","1292-05-17_1_0_6_2_0_22_22",1,1292,1298,16
"Adolf von Nassau (1292-1298)","Boppard",7.58992,50.23085,6,"1292-05-29","1292-05-29","1292-05-29_1_0_6_2_0_27_26",2,1292,1298,16
"Adolf von Nassau (1292-1298)","Aachen",6.08342,50.77664,7,"1292-06-30","1292-06-30","1292-06-30_1_0_6_2_0_30_29",3,1292,1298,16
"Adolf von Nassau (1292-1298)","Aachen",6.08342,50.77664,7,"1292-06-30","1292-06-30","1292-06-30_3_0_6_2_0_32_31",3,1292,1298,16
"Adolf von Nassau (1292-1298)","Aachen",6.08342,50.77664,8,"1292-07-01","1292-07-01","1292-07-01_1_0_6_2_0_34_33",3,1292,1298,16
"Adolf von Nassau (1292-1298)","Aachen",6.08342,50.77664,8,"1292-07-01","1292-07-01","1292-07-01_2_0_6_2_0_35_34",3,1292,1298,16
"Adolf von Nassau (1292-1298)","Aachen",6.08342,50.77664,8,"1292-07-01","1292-07-01","1292-07-01_3_0_6_2_0_36_35",3,1292,1298,16
"Adolf von Nassau (1292-1298)","Burtscheid (Aachen)",6.09334,50.76374,9,"1292-07-02","1292-07-02","1292-07-07_1_0_6_2_0_39_38",4,1292,1298,16
"Adolf von Nassau (1292-1298)","Burtscheid (Aachen)",6.09334,50.76374,9,"1292-07-02","1292-07-02","1292-07-02_1_0_6_2_0_38_37",4,1292,1298,16
"Adolf von Nassau (1292-1298)","Burtscheid (Aachen)",6.09334,50.76374,9,"1292-07-02","1292-07-02","1292-07-07_1_0_6_2_0_37_36",4,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,10,"1292-07-05","1292-07-05","1292-07-05_1_0_6_2_0_41_40",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,11,"1292-07-06","1292-07-06","1292-07-06_1_0_6_2_0_42_41",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_1_0_6_2_0_43_42",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_2_0_6_2_0_44_43",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_3_0_6_2_0_45_44",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_4_0_6_2_0_46_45",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_5_0_6_2_0_47_46",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_6_0_6_2_0_48_47",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,12,"1292-07-07","1292-07-07","1292-07-07_7_0_6_2_0_49_48",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,13,"1292-07-11","1292-07-11","1292-07-11_2_0_6_2_0_52_51",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,14,"1292-07-15","1292-07-15","1292-07-15_1_0_6_2_0_53_52",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,15,"1292-07-24","1292-07-24","1292-07-24_1_0_6_2_0_55_54",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,15,"1292-07-24","1292-07-24","1292-07-24_2_0_6_2_0_56_55",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,16,"1292-07-28","1292-07-28","1292-07-28_1_0_6_2_0_57_56",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,16,"1292-07-28","1292-07-28","1292-07-28_2_0_6_2_0_58_57",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,16,"1292-07-28","1292-07-28","1292-07-28_3_0_6_2_0_59_58",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,17,"1292-08-05","1292-08-05","1292-08-05_1_0_6_2_0_60_59",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,18,"1292-08-07","1292-08-07","1292-08-07_1_0_6_2_0_62_60",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Bonn",7.09549,50.73438,18,"1292-08-07","1292-08-07","1292-08-07_2_0_6_2_0_63_61",5,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,19,"1292-08-16","1292-08-16","1292-08-16_1_0_6_2_0_65_62",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,20,"1292-08-17","1292-08-17","1292-08-17_1_0_6_2_0_66_63",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,21,"1292-08-23","1292-08-23","1292-08-23_1_0_6_2_0_67_64",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,21,"1292-08-23","1292-08-23","1292-08-23_2_0_6_2_0_68_65",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,21,"1292-08-23","1292-08-23","1292-08-23_3_0_6_2_0_69_66",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,21,"1292-08-23","1292-08-23","1292-08-23_4_0_6_2_0_70_67",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,22,"1292-08-24","1292-08-24","1292-08-24_1_0_6_2_0_71_68",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,23,"1292-08-25","1292-08-25","1292-08-25_1_0_6_2_0_72_69",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,23,"1292-08-25","1292-08-25","1292-08-25_2_0_6_2_0_73_70",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,23,"1292-08-25","1292-08-25","1292-08-25_3_0_6_2_0_74_71",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,23,"1292-08-25","1292-08-25","1292-08-25_4_0_6_2_0_75_72",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,24,"1292-08-27","1292-08-27","1292-08-27_1_0_6_2_0_77_74",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,25,"1292-09-01","1292-09-01","1292-09-01_1_0_6_2_0_78_75",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,25,"1292-09-01","1292-09-01","1292-09-01_2_0_6_2_0_79_76",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,26,"1292-09-11","1292-09-11","1292-09-11_1_0_6_2_0_82_79",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,27,"1292-09-12","1292-09-12","1292-09-12_1_0_6_2_0_83_80",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,28,"1292-09-13","1292-09-13","1292-09-13_1_0_6_2_0_84_81",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,28,"1292-09-13","1292-09-13","1292-09-13_2_0_6_2_0_85_82",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,29,"1292-09-15","1292-09-15","1292-09-15_1_0_6_2_0_86_83",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,29,"1292-09-15","1292-09-15","1292-09-15_2_0_6_2_0_87_84",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,29,"1292-09-15","1292-09-15","1292-09-15_3_0_6_2_0_88_85",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,29,"1292-09-15","1292-09-15","1292-09-15_4_0_6_2_0_89_86",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,30,"1292-09-17","1292-09-17","1292-09-17_1_0_6_2_0_90_87",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,31,"1292-09-21","1292-09-21","1292-09-21_1_0_6_2_0_92_89",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,31,"1292-09-21","1292-09-21","1292-09-21_2_0_6_2_0_93_90",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,32,"1292-09-22","1292-09-22","1292-09-22_1_0_6_2_0_94_91",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,33,"1292-09-24","1292-09-24","1292-09-24_1_0_6_2_0_95_92",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,34,"1292-09-27","1292-09-27","1292-09-27_1_0_6_2_0_96_93",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,35,"1292-09-30","1292-09-30","1292-09-30_1_0_6_2_0_97_94",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,36,"1292-10-01","1292-10-01","1292-10-01_1_0_6_2_0_98_95",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,37,"1292-10-02","1292-10-02","1292-10-02_1_0_6_2_0_99_96",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,38,"1292-10-04","1292-10-04","1292-10-04_1_0_6_2_0_100_97",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,38,"1292-10-04","1292-10-04","1292-10-04_2_0_6_2_0_101_98",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,38,"1292-10-04","1292-10-04","1292-10-04_3_0_6_2_0_102_99",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,39,"1292-10-05","1292-10-05","1292-10-05_1_0_6_2_0_103_100",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,40,"1292-10-11","1292-10-11","1292-10-11_1_0_6_2_0_104_101",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,40,"1292-10-11","1292-10-11","1292-10-11_2_0_6_2_0_105_102",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,40,"1292-10-11","1292-10-11","1292-10-11_3_0_6_2_0_106_103",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Köln",6.95,50.93333,41,"1292-10-15","1292-10-15","1292-10-15_1_0_6_2_0_108_105",6,1292,1298,16
"Adolf von Nassau (1292-1298)","Ingelheim am Rhein",8.05883,49.97078,42,"1292-10-25","1292-10-25","1292-10-25_1_0_6_2_0_111_108",7,1292,1298,16
"Adolf von Nassau (1292-1298)","Ingelheim am Rhein",8.05883,49.97078,43,"1292-10-26","1292-10-26","1292-10-26_2_0_6_2_0_114_111",7,1292,1298,16
"Adolf von Nassau (1292-1298)","Oppenheim",8.35974,49.8547,44,"1292-10-30","1292-10-30","1292-10-30_1_0_6_2_0_116_113",8,1292,1298,16
"Adolf von Nassau (1292-1298)","Oppenheim",8.35974,49.8547,45,"1292-11-01","1292-11-01","1292-11-01_1_0_6_2_0_117_114",8,1292,1298,16
"Adolf von Nassau (1292-1298)","Oppenheim",8.35974,49.8547,46,"1292-11-03","1292-11-03","1292-11-03_1_0_6_2_0_118_115",8,1292,1298,16
"Adolf von Nassau (1292-1298)","Oppenheim",8.35974,49.8547,47,"1292-11-05","1292-11-05","1292-11-05_2_0_6_2_0_120_117",8,1292,1298,16
"Adolf von Nassau (1292-1298)","Worms",8.35916,49.63278,48,"1292-11-09","1292-11-09","1292-11-09_1_0_6_2_0_122_119",9,1292,1298,16
"Adolf von Nassau (1292-1298)","Worms",8.35916,49.63278,49,"1292-11-10","1292-11-10","1292-11-10_1_0_6_2_0_123_120",9,1292,1298,16
"Adolf von Nassau (1292-1298)","Deidesheim",8.18445,49.40782,50,"1292-11-12","1292-11-12","1292-11-12_1_0_6_2_0_124_121",10,1292,1298,16
"Adolf von Nassau (1292-1298)","Landau in der Pfalz",8.11692,49.19844,51,"1292-11-14","1292-11-14","1292-11-14_2_0_6_2_0_127_124",11,1292,1298,16
"Adolf von Nassau (1292-1298)","Landau in der Pfalz",8.11692,49.19844,52,"1292-11-15","1292-11-15","1292-11-15_2_0_6_2_0_129_126",11,1292,1298,16
"Adolf von Nassau (1292-1298)","Weissenburg",7.94548,49.03708,53,"1292-11-17","1292-11-17","1292-11-17_1_0_6_2_0_130_127",12,1292,1298,16
"Adolf von Nassau (1292-1298)","Weissenburg",7.94548,49.03708,54,"1292-11-20","1292-11-20","1292-11-20_1_0_6_2_0_132_129",12,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,55,"1292-11-28","1292-11-28","1292-11-28_1_0_6_2_0_135_132",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,55,"1292-11-28","1292-11-28","1292-11-28_2_0_6_2_0_136_133",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,56,"1292-11-29","1292-11-29","1292-11-29_1_0_6_2_0_137_134",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,56,"1292-11-29","1292-11-29","1292-11-29_2_0_6_2_0_138_135",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,57,"1292-12-02","1292-12-02","1292-12-02_1_0_6_2_0_140_137",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,57,"1292-12-02","1292-12-02","1292-12-02_2_0_6_2_0_141_138",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,57,"1292-12-02","1292-12-02","1292-12-02_3_0_6_2_0_142_139",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,57,"1292-12-02","1292-12-02","1292-12-02_4_0_6_2_0_143_140",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,57,"1292-12-02","1292-12-02","1292-12-02_5_0_6_2_0_144_141",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,58,"1292-12-05","1292-12-05","1292-12-05_1_0_6_2_0_146_143",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,58,"1292-12-05","1292-12-05","1292-12-05_2_0_6_2_0_147_144",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,59,"1292-12-10","1292-12-10","1292-12-10_1_0_6_2_0_149_146",13,1292,1298,16
"Adolf von Nassau (1292-1298)","Hagenau",7.79051,48.81557,60,"1292-12-13","1292-12-13","1292-12-13_1_0_6_2_0_150_147",13,1292,1298,16
